tiers,weight,flavor,complexity,occasion,price
4,5.6,nuts,intricate,anniversary,9600
1,8.8,vanilla,minimal,anniversary,4300
2,9.0,fruit,standard,other,7000
4,5.2,fruit,intricate,birthday,6100
3,7.8,fruit,standard,anniversary,7750
2,3.8,fruit,standard,other,2900
2,4.9,nuts,minimal,wedding,7250
2,3.5,nuts,minimal,anniversary,3300
2,0.9,vanilla,intricate,anniversary,1400
2,6.6,chocolate,standard,anniversary,6150
1,4.9,spicy,intricate,anniversary,4850
5,9.4,fruit,intricate,other,10100
3,5.5,spicy,standard,wedding,6400
2,1.9,spicy,minimal,birthday,1400
1,1.4,chocolate,intricate,anniversary,1850
4,4.3,nuts,minimal,other,4250
2,7.1,nuts,minimal,anniversary,5400
1,4.0,spicy,minimal,birthday,1500
1,3.7,fruit,intricate,wedding,7000
3,9.5,chocolate,intricate,wedding,22350
4,6.7,fruit,minimal,anniversary,5500
5,2.4,fruit,intricate,anniversary,4350
4,7.8,spicy,minimal,wedding,7400
2,8.0,spicy,intricate,birthday,6650
3,0.7,spicy,intricate,wedding,1950
5,5.3,chocolate,intricate,other,7400
5,8.6,vanilla,intricate,anniversary,9350
1,7.7,nuts,minimal,birthday,5350
5,5.7,fruit,standard,birthday,5950
5,3.3,nuts,minimal,anniversary,4600
5,3.2,vanilla,standard,wedding,4800
4,9.6,vanilla,standard,other,6850
4,8.2,nuts,minimal,birthday,6200
5,7.5,chocolate,standard,anniversary,8500
2,9.2,chocolate,minimal,anniversary,7100
4,7.5,spicy,intricate,birthday,7350
1,5.1,fruit,standard,other,3250
4,7.5,fruit,minimal,birthday,4900
3,3.7,spicy,intricate,birthday,3600
5,1.2,fruit,minimal,other,2750
4,4.7,chocolate,standard,other,5250
2,1.6,chocolate,minimal,wedding,2350
3,3.9,fruit,intricate,other,5100
4,2.6,spicy,intricate,birthday,3600
1,7.7,fruit,minimal,other,4400
3,4.5,chocolate,intricate,other,5900
3,9.5,vanilla,minimal,birthday,4750
5,5.2,vanilla,intricate,anniversary,6400
5,8.6,spicy,minimal,birthday,5950
2,9.0,nuts,standard,wedding,13600
1,2.8,nuts,standard,anniversary,2450
5,0.7,vanilla,intricate,wedding,2800
1,2.6,vanilla,intricate,wedding,4250
5,2.3,spicy,standard,birthday,3050
3,8.0,vanilla,minimal,wedding,7350
4,1.5,nuts,minimal,anniversary,2900
5,4.4,vanilla,standard,anniversary,5050
5,8.0,chocolate,standard,wedding,12700
2,6.2,fruit,intricate,anniversary,8350
2,5.2,spicy,intricate,birthday,4600
1,2.8,fruit,intricate,birthday,2550
4,4.0,vanilla,standard,birthday,3500
5,10.0,chocolate,intricate,birthday,13400
2,2.1,nuts,standard,other,2200
5,4.4,vanilla,intricate,other,5450
1,7.6,vanilla,standard,wedding,7400
2,5.4,vanilla,intricate,birthday,4750
5,1.5,spicy,intricate,wedding,4500
5,1.3,spicy,minimal,wedding,3000
1,1.5,spicy,intricate,wedding,2200
2,3.3,spicy,intricate,birthday,2750
5,5.7,vanilla,standard,other,4500
1,7.0,vanilla,intricate,birthday,4900
3,6.5,vanilla,standard,wedding,6800
4,2.9,nuts,standard,birthday,4050
1,5.2,fruit,standard,other,3350
3,8.0,spicy,standard,anniversary,5550
5,3.7,fruit,standard,other,4750
2,8.5,fruit,standard,other,5700
1,0.5,vanilla,intricate,anniversary,400
5,7.2,nuts,intricate,other,11350
1,8.9,chocolate,minimal,wedding,9950
4,6.9,spicy,standard,birthday,5350
2,2.6,spicy,minimal,wedding,2550
5,2.5,nuts,minimal,other,3850
5,2.8,nuts,intricate,wedding,8300
4,5.9,chocolate,intricate,wedding,15150
4,0.9,nuts,minimal,other,2150
3,6.7,vanilla,intricate,wedding,11200
4,5.3,chocolate,minimal,other,4350
5,2.0,spicy,standard,wedding,3900
2,0.6,vanilla,intricate,anniversary,1050
3,4.3,spicy,minimal,anniversary,3000
3,4.4,fruit,standard,other,4050
2,6.3,vanilla,intricate,anniversary,6800
1,4.1,nuts,standard,anniversary,4050
2,6.4,chocolate,intricate,birthday,6750
4,2.2,nuts,standard,wedding,4800
1,8.3,nuts,minimal,wedding,10550
5,4.4,spicy,standard,other,4150
4,0.9,chocolate,standard,birthday,2350
2,7.2,vanilla,standard,other,4300
4,8.8,nuts,standard,wedding,15650
1,7.8,nuts,intricate,birthday,8900
2,7.0,chocolate,intricate,other,8500
1,0.7,vanilla,standard,birthday,300
3,3.3,chocolate,minimal,other,2900
2,4.4,nuts,intricate,birthday,6100
4,1.2,spicy,standard,anniversary,2200
5,3.4,vanilla,standard,birthday,3900
5,7.7,spicy,standard,other,6450
4,1.5,nuts,minimal,other,2300
1,5.5,spicy,standard,anniversary,3000
5,1.3,chocolate,minimal,birthday,2850
2,5.6,vanilla,standard,birthday,3350
4,0.8,vanilla,standard,birthday,1800
5,2.8,fruit,minimal,anniversary,3500
3,4.0,fruit,minimal,wedding,5300
4,4.8,vanilla,intricate,wedding,8850
3,7.0,nuts,standard,wedding,13250
5,9.4,spicy,minimal,anniversary,6600
3,6.1,nuts,minimal,birthday,4800
4,9.1,nuts,standard,wedding,15050
1,1.9,vanilla,intricate,other,1400
5,7.1,fruit,minimal,other,5750
2,3.5,fruit,minimal,birthday,2300
1,6.4,chocolate,intricate,anniversary,7450
2,4.7,nuts,standard,anniversary,4950
4,2.0,nuts,minimal,other,2850
4,9.6,fruit,minimal,other,6300
2,7.1,vanilla,intricate,wedding,11000
4,5.4,nuts,standard,anniversary,6950
3,5.4,fruit,minimal,wedding,6750
5,1.4,fruit,intricate,anniversary,3400
2,8.2,vanilla,standard,anniversary,5450
5,1.6,chocolate,intricate,wedding,5750
3,5.3,fruit,standard,wedding,8450
3,9.3,vanilla,standard,anniversary,6750
3,7.0,spicy,standard,other,4400
5,0.8,chocolate,minimal,wedding,3100
5,6.2,vanilla,intricate,anniversary,7850
2,9.2,spicy,minimal,birthday,3900
1,6.6,fruit,minimal,anniversary,4450
5,5.7,fruit,intricate,birthday,8050
1,0.9,nuts,intricate,other,1150
3,3.2,nuts,standard,other,3450
1,0.5,spicy,standard,anniversary,300
1,8.8,fruit,intricate,other,8200
1,0.6,nuts,standard,other,500
4,6.8,nuts,intricate,other,8700
2,0.9,spicy,standard,other,900
1,1.9,spicy,standard,anniversary,1200
1,9.2,spicy,intricate,anniversary,7650
2,1.2,spicy,intricate,birthday,1450
5,3.9,nuts,standard,anniversary,5450
3,3.5,spicy,standard,other,2600
1,2.6,nuts,standard,anniversary,2600
3,0.9,vanilla,standard,other,1350
1,5.9,spicy,intricate,anniversary,5800
4,6.8,chocolate,standard,wedding,10300
5,4.4,vanilla,standard,anniversary,4950
3,7.7,fruit,intricate,other,7750
4,6.1,vanilla,intricate,anniversary,7600
5,3.7,chocolate,intricate,wedding,10150
1,6.6,spicy,standard,wedding,6650
3,5.5,fruit,minimal,birthday,3900
3,5.4,spicy,intricate,anniversary,5700
2,8.8,vanilla,intricate,birthday,6600
4,6.2,nuts,standard,other,6650
1,5.2,chocolate,intricate,birthday,5400
4,8.8,spicy,standard,anniversary,6200
5,2.2,spicy,standard,other,2950
1,6.0,vanilla,standard,other,3150
3,3.8,chocolate,minimal,wedding,5650
1,9.4,chocolate,minimal,other,5550
4,8.1,nuts,minimal,birthday,6900
3,9.6,nuts,minimal,anniversary,8300
4,2.3,fruit,minimal,wedding,3500
1,2.6,spicy,standard,birthday,1150
5,1.2,spicy,minimal,birthday,2600
5,6.6,vanilla,standard,anniversary,6250
2,1.1,spicy,intricate,birthday,1200
2,5.7,vanilla,intricate,birthday,4600
2,8.6,vanilla,intricate,wedding,14550
2,3.4,nuts,intricate,other,4650
5,3.0,fruit,standard,wedding,6100
1,6.0,chocolate,intricate,birthday,5650
3,4.7,fruit,minimal,birthday,3600
5,8.4,spicy,standard,anniversary,6750
1,6.5,chocolate,standard,birthday,4250
3,3.7,nuts,minimal,other,3450
5,1.2,vanilla,standard,birthday,2800
2,2.6,vanilla,minimal,wedding,2500
5,4.3,spicy,standard,other,4050
2,9.6,nuts,standard,wedding,16300
4,2.1,spicy,minimal,wedding,3050
5,6.9,spicy,minimal,other,4300
1,1.2,fruit,standard,wedding,1550
3,4.9,fruit,minimal,birthday,3850
4,1.6,chocolate,intricate,wedding,4700
5,1.6,chocolate,intricate,birthday,3750
1,9.1,vanilla,intricate,wedding,13650
4,3.8,spicy,intricate,birthday,4150
5,8.7,spicy,intricate,other,8400
2,3.1,fruit,intricate,wedding,6050
3,3.0,fruit,standard,birthday,3000
4,4.9,spicy,minimal,birthday,3200
2,5.1,chocolate,intricate,anniversary,6650
4,0.9,chocolate,standard,anniversary,2250
2,1.6,spicy,standard,birthday,1250
2,1.6,nuts,standard,anniversary,2050
1,8.7,vanilla,minimal,other,3250
4,8.8,vanilla,standard,other,6250
2,2.5,nuts,intricate,anniversary,4350
5,4.9,nuts,standard,anniversary,6950
2,2.3,vanilla,minimal,anniversary,1700
1,6.6,vanilla,minimal,other,2800
3,8.1,nuts,standard,wedding,14900
4,4.9,fruit,standard,wedding,8650
5,4.5,fruit,standard,anniversary,5400
1,5.3,fruit,standard,other,3650
4,3.1,nuts,minimal,birthday,3450
3,5.9,vanilla,minimal,other,3550
4,8.5,vanilla,minimal,birthday,4900
5,5.9,nuts,standard,birthday,7300
3,6.5,fruit,standard,anniversary,6150
5,0.7,spicy,minimal,other,2300
1,6.4,spicy,minimal,other,2550
1,8.1,spicy,intricate,other,6000
4,4.7,vanilla,standard,other,4250
1,6.2,spicy,minimal,birthday,2650
5,4.6,nuts,standard,birthday,5800
1,3.8,nuts,minimal,anniversary,3100
3,8.3,fruit,minimal,anniversary,6550
4,6.9,nuts,minimal,anniversary,6700
4,7.1,nuts,intricate,wedding,19050
4,9.3,nuts,standard,wedding,16750
4,5.5,nuts,minimal,other,5000
5,8.1,fruit,intricate,birthday,9550
2,6.2,nuts,intricate,anniversary,10200
3,5.1,spicy,standard,other,3400
3,2.5,vanilla,minimal,wedding,2800
3,6.8,fruit,standard,birthday,5250
1,5.2,chocolate,minimal,other,2800
1,7.3,fruit,standard,other,4950
3,5.6,spicy,intricate,birthday,5250
1,6.5,spicy,minimal,anniversary,3100
1,8.0,fruit,standard,other,5600
3,8.2,vanilla,intricate,birthday,7550
4,4.6,fruit,intricate,other,5650
4,2.9,vanilla,intricate,birthday,3300
2,0.6,chocolate,minimal,other,800
2,4.4,spicy,intricate,other,3800
1,5.8,chocolate,standard,wedding,8500
3,1.9,chocolate,standard,anniversary,2650
3,1.7,spicy,intricate,birthday,2200
3,4.0,vanilla,minimal,anniversary,2700
3,9.5,vanilla,minimal,wedding,8600
1,9.9,spicy,intricate,other,6900
1,9.8,nuts,intricate,other,11450
4,4.3,vanilla,minimal,wedding,4550
2,8.8,chocolate,intricate,wedding,19250
3,9.6,chocolate,standard,wedding,13400
2,0.6,vanilla,standard,anniversary,900
5,6.8,chocolate,standard,other,6450
3,3.8,chocolate,standard,anniversary,4250
2,5.5,nuts,standard,birthday,5100
1,5.0,fruit,standard,birthday,2950
5,5.7,fruit,intricate,wedding,13100
5,7.9,spicy,standard,other,5550
2,6.2,vanilla,intricate,other,4650
4,4.6,fruit,minimal,other,3500
5,2.5,vanilla,standard,anniversary,3200
4,6.7,nuts,minimal,other,5950
2,8.9,chocolate,standard,anniversary,7500
3,4.5,spicy,intricate,wedding,8500
2,9.6,vanilla,standard,anniversary,6100
3,2.6,fruit,intricate,birthday,3750
5,2.2,vanilla,intricate,other,3700
1,3.6,spicy,standard,birthday,1800
1,8.0,nuts,standard,other,6500
1,5.6,fruit,standard,wedding,6650
4,1.8,fruit,minimal,anniversary,2500
5,8.3,vanilla,standard,anniversary,6800
4,1.8,chocolate,standard,other,2700
2,5.5,nuts,standard,other,5300
2,5.6,spicy,intricate,other,4400
1,1.6,nuts,minimal,wedding,1850
3,9.2,nuts,standard,wedding,14700
1,5.5,vanilla,minimal,anniversary,2650
1,2.2,chocolate,minimal,birthday,1300
4,1.2,spicy,intricate,birthday,2400
4,1.7,spicy,intricate,birthday,2700
2,9.1,nuts,standard,anniversary,10100
2,8.3,chocolate,standard,anniversary,7550
3,7.1,vanilla,minimal,other,3800
2,0.9,vanilla,intricate,anniversary,1350
3,4.3,chocolate,intricate,other,5500
1,5.1,fruit,standard,birthday,3550
3,3.3,spicy,intricate,other,3200
5,9.8,nuts,intricate,other,12900
4,0.8,fruit,minimal,other,1800
2,8.1,chocolate,intricate,wedding,17550
1,5.7,nuts,standard,anniversary,5350
4,1.1,chocolate,minimal,wedding,2550
3,2.5,fruit,standard,birthday,2700
5,1.2,fruit,standard,other,2700
2,9.7,fruit,standard,other,6150
3,4.7,fruit,intricate,anniversary,5900
5,5.8,fruit,minimal,birthday,5400
2,7.8,nuts,intricate,birthday,10200
3,9.0,vanilla,minimal,other,4600
4,7.2,nuts,minimal,wedding,9900
1,4.5,nuts,minimal,birthday,2800
4,7.4,fruit,minimal,wedding,8900
3,3.7,fruit,intricate,other,4300
2,8.1,fruit,standard,wedding,10550
5,5.3,spicy,standard,wedding,7250
4,2.8,fruit,intricate,birthday,3900
2,3.5,fruit,standard,birthday,2850
5,9.0,nuts,standard,wedding,16450
3,1.5,fruit,intricate,anniversary,2600
1,1.9,nuts,intricate,other,2450
1,8.6,chocolate,intricate,birthday,9000
3,6.4,spicy,intricate,other,5800
5,1.1,vanilla,minimal,other,2500
3,6.9,nuts,intricate,other,9250
2,9.5,nuts,minimal,birthday,6850
5,5.7,vanilla,intricate,other,6300
